"recording_id","file_name","recording_file_path","annotation_file_path","unique_code","espece","date"
1,"Orthoptera_PuMaSie00ES_15VIII2024_1548.wav","Enregistrements opportunistes/Orthoptera/David Funosas/Lluciapomaresius stalii/Orthoptera_PuMaSie00ES_15VIII2024_1548.wav",NA,"Orthoptera_PuMaSie00ES_15VIII2024_1548","Lluciapomaresius stalii","15/08/2024"
2,"Orthoptera_PuMaSie00ES_15VIII2024_1550.wav","Enregistrements opportunistes/Orthoptera/David Funosas/Lluciapomaresius stalii/Orthoptera_PuMaSie00ES_15VIII2024_1550.wav",NA,"Orthoptera_PuMaSie00ES_15VIII2024_1550","Lluciapomaresius stalii","15/08/2024"
3,"Orthoptera_VaSoSie00ES_15VIII2024_1551.wav","Enregistrements opportunistes/Orthoptera/David Funosas/Lluciapomaresius stalii/Orthoptera_VaSoSie00ES_15VIII2024_1551.wav",NA,"Orthoptera_VaSoSie00ES_15VIII2024_1551","Lluciapomaresius stalii","15/08/2024"
4,"Orthoptera_PuMaSie00ES_15VIII2024_1547.wav","Enregistrements opportunistes/Orthoptera/David Funosas/Platycleis albopunctata/Orthoptera_PuMaSie00ES_15VIII2024_1547.wav",NA,"Orthoptera_PuMaSie00ES_15VIII2024_1547","Platycleis albopunctata","15/08/2024"
5,"Orthoptera_PuMaSie00ES_15VIII2024_1549.wav","Enregistrements opportunistes/Orthoptera/David Funosas/Platycleis albopunctata/Orthoptera_PuMaSie00ES_15VIII2024_1549.wav",NA,"Orthoptera_PuMaSie00ES_15VIII2024_1549","Platycleis albopunctata","15/08/2024"
6,"Squamata_chisant09FR_14IX2024_1631.wav","Enregistrements opportunistes/Squamata/David Funosas/Vipera aspis/Squamata_chisant09FR_14IX2024_1631.wav",NA,"Squamata_chisant09FR_14IX2024_1631","Vipera aspis","14/09/2024"
7,"Anura_HoBa00ES_17V2025_1671.wav","Enregistrements opportunistes/Anura/David Funosas/Alytes almogavarii/Sons/Anura_HoBa00ES_17V2025_1671.wav",NA,"Anura_HoBa00ES_17V2025_1671","Alytes almogavarii","17/05/2025"
8,"Anura_HoBa00ES_17V2025_1672.wav","Enregistrements opportunistes/Anura/David Funosas/Alytes almogavarii/Sons/Anura_HoBa00ES_17V2025_1672.wav",NA,"Anura_HoBa00ES_17V2025_1672","Alytes almogavarii","17/05/2025"
9,"Anura_HoBa00ES_17V2025_1673.wav","Enregistrements opportunistes/Anura/David Funosas/Alytes almogavarii/Sons/Anura_HoBa00ES_17V2025_1673.wav",NA,"Anura_HoBa00ES_17V2025_1673","Alytes almogavarii","17/05/2025"
10,"Anura_HoBa00ES_17V2025_1674.wav","Enregistrements opportunistes/Anura/David Funosas/Alytes almogavarii/Sons/Anura_HoBa00ES_17V2025_1674.wav",NA,"Anura_HoBa00ES_17V2025_1674","Alytes almogavarii","17/05/2025"
11,"Anura_HoBa00ES_17V2025_1675.wav","Enregistrements opportunistes/Anura/David Funosas/Alytes almogavarii/Sons/Anura_HoBa00ES_17V2025_1675.wav",NA,"Anura_HoBa00ES_17V2025_1675","Alytes almogavarii","17/05/2025"
12,"Anura_HoBa00ES_17V2025_1676.wav","Enregistrements opportunistes/Anura/David Funosas/Alytes almogavarii/Sons/Anura_HoBa00ES_17V2025_1676.wav",NA,"Anura_HoBa00ES_17V2025_1676","Alytes almogavarii","17/05/2025"
13,"Anura_EsFo00ES_22III2025_1659.wav","Enregistrements opportunistes/Anura/David Funosas/Epidalea calamita/Sons/Anura_EsFo00ES_22III2025_1659.wav",NA,"Anura_EsFo00ES_22III2025_1659","Epidalea calamita","22/03/2025"
14,"Anura_EsFo00ES_22III2025_1660.wav","Enregistrements opportunistes/Anura/David Funosas/Epidalea calamita/Sons/Anura_EsFo00ES_22III2025_1660.wav",NA,"Anura_EsFo00ES_22III2025_1660","Epidalea calamita","22/03/2025"
15,"Anura_EsFo00ES_22III2025_1661.wav","Enregistrements opportunistes/Anura/David Funosas/Epidalea calamita/Sons/Anura_EsFo00ES_22III2025_1661.wav",NA,"Anura_EsFo00ES_22III2025_1661","Epidalea calamita","22/03/2025"
16,"Anura_EsFo00ES_22III2025_1662.wav","Enregistrements opportunistes/Anura/David Funosas/Epidalea calamita/Sons/Anura_EsFo00ES_22III2025_1662.wav",NA,"Anura_EsFo00ES_22III2025_1662","Epidalea calamita","22/03/2025"
17,"Anura_EsFo00ES_22III2025_1663.wav","Enregistrements opportunistes/Anura/David Funosas/Epidalea calamita/Sons/Anura_EsFo00ES_22III2025_1663.wav",NA,"Anura_EsFo00ES_22III2025_1663","Epidalea calamita","22/03/2025"
18,"Anura_EsFo00ES_22III2025_1664.wav","Enregistrements opportunistes/Anura/David Funosas/Epidalea calamita/Sons/Anura_EsFo00ES_22III2025_1664.wav",NA,"Anura_EsFo00ES_22III2025_1664","Epidalea calamita","22/03/2025"
19,"Anura_EsFo00ES_22III2025_1665.wav","Enregistrements opportunistes/Anura/David Funosas/Epidalea calamita/Sons/Anura_EsFo00ES_22III2025_1665.wav",NA,"Anura_EsFo00ES_22III2025_1665","Epidalea calamita","22/03/2025"
20,"Anura_EsFo00ES_22III2025_1666.wav","Enregistrements opportunistes/Anura/David Funosas/Epidalea calamita/Sons/Anura_EsFo00ES_22III2025_1666.wav",NA,"Anura_EsFo00ES_22III2025_1666","Epidalea calamita","22/03/2025"
21,"Anura_EsFo00ES_22III2025_1667.wav","Enregistrements opportunistes/Anura/David Funosas/Epidalea calamita/Sons/Anura_EsFo00ES_22III2025_1667.wav",NA,"Anura_EsFo00ES_22III2025_1667","Epidalea calamita","22/03/2025"
22,"Anura_EsFo00ES_22III2025_1668.wav","Enregistrements opportunistes/Anura/David Funosas/Epidalea calamita/Sons/Anura_EsFo00ES_22III2025_1668.wav",NA,"Anura_EsFo00ES_22III2025_1668","Epidalea calamita","22/03/2025"
23,"Anura_EsFo00ES_22III2025_1669.wav","Enregistrements opportunistes/Anura/David Funosas/Epidalea calamita/Sons/Anura_EsFo00ES_22III2025_1669.wav",NA,"Anura_EsFo00ES_22III2025_1669","Epidalea calamita","22/03/2025"
24,"Anura_EsFo00ES_22III2025_1670.wav","Enregistrements opportunistes/Anura/David Funosas/Epidalea calamita/Sons/Anura_EsFo00ES_22III2025_1670.wav",NA,"Anura_EsFo00ES_22III2025_1670","Epidalea calamita","22/03/2025"
25,"Anura_ChPe33FR_07VI2025_1683.wav","Enregistrements opportunistes/Anura/David Funosas/Hyla meridionalis/Sons/Anura_ChPe33FR_07VI2025_1683.wav",NA,"Anura_ChPe33FR_07VI2025_1683","Hyla meridionalis","07/06/2025"
26,"Anura_LlPo00ES_21III2025_1657.wav","Enregistrements opportunistes/Anura/David Funosas/Hyla meridionalis/Sons/Anura_LlPo00ES_21III2025_1657.wav",NA,"Anura_LlPo00ES_21III2025_1657","Hyla meridionalis","21/03/2025"
27,"Anura_LlPo00ES_21III2025_1658.wav","Enregistrements opportunistes/Anura/David Funosas/Pelodytes punctatus/Sons/Anura_LlPo00ES_21III2025_1658.wav",NA,"Anura_LlPo00ES_21III2025_1658","Pelodytes punctatus","21/03/2025"
28,"Anura_XXXXXXXXXFR_16V2022_1644.wav","Enregistrements opportunistes/Anura/Elodie Massol/Bombina variegata/Sons/Anura_XXXXXXXXXFR_16V2022_1644.wav",NA,"Anura_XXXXXXXXXFR_16V2022_1644","Bombina variegata","16/05/2022"
29,"Anura_dlpetuc11FR_19V2022_186.wav","Enregistrements opportunistes/Anura/Elodie Massol/Hyla meridionalis/Sons/Anura_dlpetuc11FR_19V2022_186.wav","Enregistrements opportunistes/Anura/Elodie Massol/Hyla meridionalis/Sons/Anura_dlpetuc11FR_19V2022_186.txt","Anura_dlpetuc11FR_19V2022_186","Hyla meridionalis","19/05/2022"
30,"Anura_dlpetuc11FR_19V2022_187.wav","Enregistrements opportunistes/Anura/Elodie Massol/Hyla meridionalis/Sons/Anura_dlpetuc11FR_19V2022_187.wav","Enregistrements opportunistes/Anura/Elodie Massol/Hyla meridionalis/Sons/Anura_dlpetuc11FR_19V2022_187.txt","Anura_dlpetuc11FR_19V2022_187","Hyla meridionalis","19/05/2022"
31,"Anura_pdbifon31FR_21III2022_46.wav","Enregistrements opportunistes/Anura/Elodie Massol/Hyla meridionalis/Sons/Anura_pdbifon31FR_21III2022_46.wav","Enregistrements opportunistes/Anura/Elodie Massol/Hyla meridionalis/Sons/Anura_pdbifon31FR_21III2022_46.txt","Anura_pdbifon31FR_21III2022_46","Hyla meridionalis","21/03/2022"
32,"Anura_pdlmtou31FR_25IV2022_55.wav","Enregistrements opportunistes/Anura/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou31FR_25IV2022_55.wav","Enregistrements opportunistes/Anura/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou31FR_25IV2022_55.txt","Anura_pdlmtou31FR_25IV2022_55","Hyla meridionalis","25/04/2022"
33,"Anura_pdlmtou31FR_25IV2022_56.wav","Enregistrements opportunistes/Anura/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou31FR_25IV2022_56.wav","Enregistrements opportunistes/Anura/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou31FR_25IV2022_56.txt","Anura_pdlmtou31FR_25IV2022_56","Hyla meridionalis","25/04/2022"
34,"Anura_rdlplbb09FR_08IV2022_49.wav","Enregistrements opportunistes/Anura/Elodie Massol/Hyla meridionalis/Sons/Anura_rdlplbb09FR_08IV2022_49.wav","Enregistrements opportunistes/Anura/Elodie Massol/Hyla meridionalis/Sons/Anura_rdlplbb09FR_08IV2022_49.txt","Anura_rdlplbb09FR_08IV2022_49","Hyla meridionalis","08/04/2022"
35,"Anura_rdlplbb09FR_08IV2022_50.wav","Enregistrements opportunistes/Anura/Elodie Massol/Hyla meridionalis/Sons/Anura_rdlplbb09FR_08IV2022_50.wav","Enregistrements opportunistes/Anura/Elodie Massol/Hyla meridionalis/Sons/Anura_rdlplbb09FR_08IV2022_50.txt","Anura_rdlplbb09FR_08IV2022_50","Hyla meridionalis","08/04/2022"
36,"Anura_rdlplbb09FR_08IV2022_51.wav","Enregistrements opportunistes/Anura/Elodie Massol/Hyla meridionalis/Sons/Anura_rdlplbb09FR_08IV2022_51.wav","Enregistrements opportunistes/Anura/Elodie Massol/Hyla meridionalis/Sons/Anura_rdlplbb09FR_08IV2022_51.txt","Anura_rdlplbb09FR_08IV2022_51","Hyla meridionalis","08/04/2022"
37,"Anura_rdlplbb09FR_08IV2022_52.wav","Enregistrements opportunistes/Anura/Elodie Massol/Pelodytes punctatus/Sons/Anura_rdlplbb09FR_08IV2022_52.wav","Enregistrements opportunistes/Anura/Elodie Massol/Pelodytes punctatus/Sons/Anura_rdlplbb09FR_08IV2022_52.txt","Anura_rdlplbb09FR_08IV2022_52","Pelodytes punctatus","08/04/2022"
38,"Anura_rdlplbb09FR_08IV2022_53.wav","Enregistrements opportunistes/Anura/Elodie Massol/Pelodytes punctatus/Sons/Anura_rdlplbb09FR_08IV2022_53.wav","Enregistrements opportunistes/Anura/Elodie Massol/Pelodytes punctatus/Sons/Anura_rdlplbb09FR_08IV2022_53.txt","Anura_rdlplbb09FR_08IV2022_53","Pelodytes punctatus","08/04/2022"
39,"Anura_rdlplbb09FR_08IV2022_54.wav","Enregistrements opportunistes/Anura/Elodie Massol/Pelodytes punctatus/Sons/Anura_rdlplbb09FR_08IV2022_54.wav","Enregistrements opportunistes/Anura/Elodie Massol/Pelodytes punctatus/Sons/Anura_rdlplbb09FR_08IV2022_54.txt","Anura_rdlplbb09FR_08IV2022_54","Pelodytes punctatus","08/04/2022"
40,"Anura_blantec81FR_01VI2022_158.wav","Enregistrements opportunistes/Anura/Elodie Massol/Pelophylax kl/Sons/Anura_blantec81FR_01VI2022_158.wav","Enregistrements opportunistes/Anura/Elodie Massol/Pelophylax kl/Sons/Anura_blantec81FR_01VI2022_158.txt","Anura_blantec81FR_01VI2022_158","Pelophylax kl.","01/06/2022"
41,"Anura_jtfoalb81FR_19III2022_47.wav","Enregistrements opportunistes/Anura/Elodie Massol/Pelophylax ridibundus/Sons/Anura_jtfoalb81FR_19III2022_47.wav","Enregistrements opportunistes/Anura/Elodie Massol/Pelophylax ridibundus/Sons/Anura_jtfoalb81FR_19III2022_47.txt","Anura_jtfoalb81FR_19III2022_47","Pelophylax ridibundus","19/03/2022"
42,"Anura_jtfoalb81FR_23III2022_48.wav","Enregistrements opportunistes/Anura/Elodie Massol/Pelophylax ridibundus/Sons/Anura_jtfoalb81FR_23III2022_48.wav","Enregistrements opportunistes/Anura/Elodie Massol/Pelophylax ridibundus/Sons/Anura_jtfoalb81FR_23III2022_48.txt","Anura_jtfoalb81FR_23III2022_48","Pelophylax ridibundus","23/03/2022"
43,"Anura_XXXXigeXXES_01VII2022_330.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Alytes obstetricans/Sons/Anura_XXXXigeXXES_01VII2022_330.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Alytes obstetricans/Sons/Anura_XXXXigeXXES_01VII2022_330.txt","Anura_XXXXigeXXES_01VII2022_330","Alytes obstetricans","01/07/2022"
44,"Anura_XXXXigeXXES_01VII2022_335.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Alytes obstetricans/Sons/Anura_XXXXigeXXES_01VII2022_335.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Alytes obstetricans/Sons/Anura_XXXXigeXXES_01VII2022_335.txt","Anura_XXXXigeXXES_01VII2022_335","Alytes obstetricans","01/07/2022"
45,"Anura_XXXXXXX07FR_23IV2022_57.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Alytes obstetricans/Sons/Anura_XXXXXXX07FR_23IV2022_57.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Alytes obstetricans/Sons/Anura_XXXXXXX07FR_23IV2022_57.txt","Anura_XXXXXXX07FR_23IV2022_57","Alytes obstetricans","23/04/2022"
46,"Anura_XXXXXXXXXFR_14VII2017_02.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Alytes obstetricans/Sons/Anura_XXXXXXXXXFR_14VII2017_02.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Alytes obstetricans/Sons/Anura_XXXXXXXXXFR_14VII2017_02.txt","Anura_XXXXXXXXXFR_14VII2017_02","Alytes obstetricans","14/07/2017"
47,"Anura_XXXXXXXXXFR_14VII2017_03.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Alytes obstetricans/Sons/Anura_XXXXXXXXXFR_14VII2017_03.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Alytes obstetricans/Sons/Anura_XXXXXXXXXFR_14VII2017_03.txt","Anura_XXXXXXXXXFR_14VII2017_03","Alytes obstetricans","14/07/2017"
48,"Anura_XXXXXXXXXFR_14VII2017_04.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Alytes obstetricans/Sons/Anura_XXXXXXXXXFR_14VII2017_04.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Alytes obstetricans/Sons/Anura_XXXXXXXXXFR_14VII2017_04.txt","Anura_XXXXXXXXXFR_14VII2017_04","Alytes obstetricans","14/07/2017"
49,"Anura_XXXXsma07FR_02III2019_05.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Bufo spinosus/Sons/Anura_XXXXsma07FR_02III2019_05.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Bufo spinosus/Sons/Anura_XXXXsma07FR_02III2019_05.txt","Anura_XXXXsma07FR_02III2019_05","Bufo spinosus","02/03/2019"
50,"Anura_XXXXporXXES_30IV2022_116.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXporXXES_30IV2022_116.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXporXXES_30IV2022_116.txt","Anura_XXXXporXXES_30IV2022_116","Epidalea calamita","30/04/2022"
51,"Anura_XXXXXXX07FR_23IV2022_100.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_23IV2022_100.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_23IV2022_100.txt","Anura_XXXXXXX07FR_23IV2022_100","Epidalea calamita","23/04/2022"
52,"Anura_XXXXXXX07FR_23IV2022_101.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_23IV2022_101.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_23IV2022_101.txt","Anura_XXXXXXX07FR_23IV2022_101","Epidalea calamita","23/04/2022"
53,"Anura_XXXXXXX07FR_23IV2022_102.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_23IV2022_102.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_23IV2022_102.txt","Anura_XXXXXXX07FR_23IV2022_102","Epidalea calamita","23/04/2022"
54,"Anura_XXXXXXX07FR_23IV2022_103.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_23IV2022_103.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_23IV2022_103.txt","Anura_XXXXXXX07FR_23IV2022_103","Epidalea calamita","23/04/2022"
55,"Anura_XXXXXXX07FR_23IV2022_104.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_23IV2022_104.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_23IV2022_104.txt","Anura_XXXXXXX07FR_23IV2022_104","Epidalea calamita","23/04/2022"
56,"Anura_XXXXXXX07FR_24IV2022_67.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_24IV2022_67.wav","Enregistrements opportunistes/Anura/Laurent Pelozuelo/Epidalea calamita/Sons/Anura_XXXXXXX07FR_24IV2022_67.txt","Anura_XXXXXXX07FR_24IV2022_67","Epidalea calamita","24/04/2022"
