"recording_id","file_name","export_file_name"
1,"Orthoptera_PuMaSie00ES_15VIII2024_1548.wav","FocalRecording_DaFu_15VIII2024_1"
2,"Orthoptera_PuMaSie00ES_15VIII2024_1550.wav","FocalRecording_DaFu_15VIII2024_2"
3,"Orthoptera_VaSoSie00ES_15VIII2024_1551.wav","FocalRecording_DaFu_15VIII2024_3"
4,"Orthoptera_PuMaSie00ES_15VIII2024_1547.wav","FocalRecording_DaFu_15VIII2024_4"
5,"Orthoptera_PuMaSie00ES_15VIII2024_1549.wav","FocalRecording_DaFu_15VIII2024_5"
6,"Squamata_chisant09FR_14IX2024_1631.wav","FocalRecording_DaFu_14IX2024_6"
7,"Anura_HoBa00ES_17V2025_1671.wav","FocalRecording_DaFu_17V2025_7"
8,"Anura_HoBa00ES_17V2025_1672.wav","FocalRecording_DaFu_17V2025_8"
9,"Anura_HoBa00ES_17V2025_1673.wav","FocalRecording_DaFu_17V2025_9"
10,"Anura_HoBa00ES_17V2025_1674.wav","FocalRecording_DaFu_17V2025_10"
11,"Anura_HoBa00ES_17V2025_1675.wav","FocalRecording_DaFu_17V2025_11"
12,"Anura_HoBa00ES_17V2025_1676.wav","FocalRecording_DaFu_17V2025_12"
13,"Anura_EsFo00ES_22III2025_1659.wav","FocalRecording_DaFu_22III2025_13"
14,"Anura_EsFo00ES_22III2025_1660.wav","FocalRecording_DaFu_22III2025_14"
15,"Anura_EsFo00ES_22III2025_1661.wav","FocalRecording_DaFu_22III2025_15"
16,"Anura_EsFo00ES_22III2025_1662.wav","FocalRecording_DaFu_22III2025_16"
17,"Anura_EsFo00ES_22III2025_1663.wav","FocalRecording_DaFu_22III2025_17"
18,"Anura_EsFo00ES_22III2025_1664.wav","FocalRecording_DaFu_22III2025_18"
19,"Anura_EsFo00ES_22III2025_1665.wav","FocalRecording_DaFu_22III2025_19"
20,"Anura_EsFo00ES_22III2025_1666.wav","FocalRecording_DaFu_22III2025_20"
21,"Anura_EsFo00ES_22III2025_1667.wav","FocalRecording_DaFu_22III2025_21"
22,"Anura_EsFo00ES_22III2025_1668.wav","FocalRecording_DaFu_22III2025_22"
23,"Anura_EsFo00ES_22III2025_1669.wav","FocalRecording_DaFu_22III2025_23"
