REGNE,PHYLUM,CLASSE,ORDRE,FAMILLE,SOUS_FAMILLE,TRIBU,CD_NOM,CD_REF,RANG,LB_NOM
Animalia,Acanthocephala,Archiacanthocephala,Moniliformida,Moniliformidae,,,958317,232787,ES,Echinorhynchus moniliformis
Animalia,Acanthocephala,Archiacanthocephala,Moniliformida,Moniliformidae,,,989004,232787,ES,Moniliformis dubius
Animalia,Acanthocephala,Archiacanthocephala,Moniliformida,Moniliformidae,,,232787,232787,ES,Moniliformis moniliformis
Animalia,Acanthocephala,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae,,,402315,232790,ES,Echinorhynchus gigas
Animalia,Acanthocephala,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae,,,232790,232790,ES,Macracanthorhynchus hirudinaceus
Animalia,Acanthocephala,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae,,,846068,232790,ES,Taenia hirudinacea
Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchinae,,908066,908066,ES,Echinorhynchus rhenanus
Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchinae,,232785,908066,ES,Metechinorhynchus rhenanus
Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Paracanthocephalidae,,,232779,232779,ES,Acanthocephalus anguillae
Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Paracanthocephalidae,,,958322,232779,ES,Echinorhynchus anguillae
Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Paracanthocephalidae,,,402313,232779,ES,Echinorhynchus globulosus
Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Paracanthocephalidae,,,232780,232780,ES,Acanthocephalus anthuris
Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Paracanthocephalidae,,,958323,232780,ES,Echinorhynchus anthuris
Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Paracanthocephalidae,,,232781,232781,ES,Acanthocephalus clavula
Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Paracanthocephalidae,,,1000781,232781,ES,Echinorhynchus clavula
Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Paracanthocephalidae,,,232782,232782,ES,Acanthocephalus haranti
Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Paracanthocephalidae,,,232784,232784,ES,Acanthocephalus ranae
