"species","ordre"
"Acheta domesticus","Orthoptera"
"Acrometopa italica","Orthoptera"
"Acrotylus braudi","Orthoptera"
"Acrotylus fischeri","Orthoptera"
"Acrotylus insubricus braudi","Orthoptera"
"Acrotylus insubricus insubricus","Orthoptera"
"Acrotylus patruelis","Orthoptera"
"Aeropedellus variegatus variegatus","Orthoptera"
"Aiolopus puissanti","Orthoptera"
"Aiolopus strepens","Orthoptera"
"Aiolopus thalassinus corsicus","Orthoptera"
"Aiolopus thalassinus thalassinus","Orthoptera"
"Amedegnatiana vicheti","Orthoptera"
"Anacridium aegyptium","Orthoptera"
"Anonconotus alpinus","Orthoptera"
"Anonconotus baracunensis","Orthoptera"
"Anonconotus ghilianii","Orthoptera"
"Anonconotus italoaustriacus","Orthoptera"
"Anonconotus ligustinus","Orthoptera"
"Anonconotus mercantouri","Orthoptera"
"Anonconotus occidentalis","Orthoptera"
"Antaxius bouvieri","Orthoptera"
"Antaxius chopardi","Orthoptera"
"Antaxius difformis","Orthoptera"
"Antaxius hispanicus","Orthoptera"
"Antaxius pedestris pedestris","Orthoptera"
"Antaxius sorrezensis","Orthoptera"
"Antaxius spinibrachius","Orthoptera"
"Arcyptera alzonai","Orthoptera"
"Arcyptera brevipennis vicheti","Orthoptera"
"Arcyptera fusca","Orthoptera"
"Arcyptera kheili","Orthoptera"
"Arcyptera microptera carpentieri","Orthoptera"
"Arcyptera microptera microptera","Orthoptera"
"Baratia sari","Orthoptera"
"Barbitistes constrictus","Orthoptera"
"Barbitistes fischeri","Orthoptera"
"Barbitistes obtusus","Orthoptera"
"Barbitistes ocskayi","Orthoptera"
"Barbitistes serricauda","Orthoptera"
"Bicolorana bicolor bicolor","Orthoptera"
"Bryodemella tuberculata tuberculata","Orthoptera"
"Calephorus compressicornis","Orthoptera"
"Callicrania ramburii","Orthoptera"
"Calliptamus barbarus barbarus","Orthoptera"
"Calliptamus italicus italicus","Orthoptera"
"Calliptamus siciliae","Orthoptera"
"Calliptamus wattenwylianus","Orthoptera"
"Chorthippus albomarginatus albomarginatus","Orthoptera"
"Chorthippus alticola rammei","Orthoptera"
"Chorthippus apricarius apricarius","Orthoptera"
"Chorthippus biguttulus biguttulus","Orthoptera"
"Chorthippus binotatus binotatus","Orthoptera"
"Chorthippus brunneus brunneus","Orthoptera"
"Chorthippus cialancensis","Orthoptera"
"Chorthippus corsicus corsicus","Orthoptera"
"Chorthippus corsicus pascuorum","Orthoptera"
"Chorthippus dichrous","Orthoptera"
"Chorthippus dorsatus dorsatus","Orthoptera"
"Chorthippus eisentrauti","Orthoptera"
"Chorthippus jacobsi","Orthoptera"
"Chorthippus jucundus","Orthoptera"
"Chorthippus jutlandica","Orthoptera"
"Chorthippus mollis ignifer","Orthoptera"
"Chorthippus mollis mollis","Orthoptera"
"Chorthippus oschei pusztaensis","Orthoptera"
"Chorthippus pullus","Orthoptera"
"Chorthippus reissingeri","Orthoptera"
"Chorthippus sampeyrensis","Orthoptera"
"Chorthippus saulcyi algoaldensis","Orthoptera"
"Chorthippus saulcyi daimei","Orthoptera"
"Chorthippus saulcyi moralesi","Orthoptera"
"Chorthippus saulcyi saulcyi","Orthoptera"
"Chorthippus saulcyi vicdessossi","Orthoptera"
"Chorthippus smardai","Orthoptera"
"Chorthippus vagans vagans","Orthoptera"
"Chrysochraon dispar dispar","Orthoptera"
"Cicada orni","Hemiptera"
"Cicada barbara","Hemiptera"
"Cicadatra atra","Hemiptera"
"Cicadetta brevipennis brevipennis","Hemiptera"
"Cicadetta brevipennis litoralis","Hemiptera"
"Cicadetta cantilatrix","Hemiptera"
"Cicadetta cerdaniensis","Hemiptera"
"Cicadetta concinna concinna","Hemiptera"
"Cicadetta fangoana","Hemiptera"
"Cicadetta macedonica","Hemiptera"
"Cicadetta montana","Hemiptera"
"Cicadetta petryi","Hemiptera"
"Cicadetta sibillae","Hemiptera"
"Conocephalus conocephalus","Orthoptera"
"Conocephalus dorsalis","Orthoptera"
"Conocephalus fuscus","Orthoptera"
"Corsteropleurus chopardi","Orthoptera"
"Cyrtaspis scutata","Orthoptera"
"Decticus albifrons","Orthoptera"
"Decticus verrucivorus monspeliensis","Orthoptera"
"Decticus verrucivorus verrucivorus","Orthoptera"
"Dimissalna dimissa","Hemiptera"
"Dociostaurus brevicollis","Orthoptera"
"Dociostaurus genei genei","Orthoptera"
"Dociostaurus jagoi occidentalis","Orthoptera"
"Dociostaurus maroccanus","Orthoptera"
"Ephippiger diurnus cunii","Orthoptera"
"Ephippiger diurnus diurnus","Orthoptera"
"Ephippiger ephippiger","Orthoptera"
"Ephippiger persicarius","Orthoptera"
"Ephippiger provincialis","Orthoptera"
"Ephippiger terrestris bormansi","Orthoptera"
"Ephippiger terrestris caprai","Orthoptera"
"Ephippiger terrestris terrestris","Orthoptera"
"Euchorthippus chopardi","Orthoptera"
"Euchorthippus declivus","Orthoptera"
"Euchorthippus elegantulus","Orthoptera"
"Euchorthippus pulvinatus","Orthoptera"
"Eugryllodes pipiens","Orthoptera"
"Eumodicogryllus bordigalensis bordigalensis","Orthoptera"
"Eupholidoptera chabrieri chabrieri","Orthoptera"
"Eupholidoptera schmidti","Orthoptera"
"Eupholidoptera tyrrhenica","Orthoptera"
"Euthystira brachyptera","Orthoptera"
"Gampsocleis glabra","Orthoptera"
"Gomphoceridius brevipennis","Orthoptera"
"Gomphocerippus armoricanus provincialis","Orthoptera"
"Gomphocerippus rufus","Orthoptera"
"Gomphocerus sibiricus sibiricus","Orthoptera"
"Gryllodes sigillatus","Orthoptera"
"Gryllotalpa africana","Orthoptera"
"Gryllotalpa gryllotalpa","Orthoptera"
"Gryllotalpa vineae","Orthoptera"
"Gryllus bimaculatus","Orthoptera"
"Gryllus campestris","Orthoptera"
"Isophya brevicauda","Orthoptera"
"Isophya camptoxypha","Orthoptera"
"Isophya costata","Orthoptera"
"Isophya kraussii","Orthoptera"
"Isophya modesta modesta","Orthoptera"
"Isophya modestior","Orthoptera"
"Isophya pienensis austromoravica","Orthoptera"
"Isophya pienensis pienensis","Orthoptera"
"Isophya pienensis sudetica","Orthoptera"
"Isophya posthumoidalis","Orthoptera"
"Isophya pyrenaea","Orthoptera"
"Isophya rectipennis","Orthoptera"
