"category","family","n_soniferous_species","n_species_recorded","n_species_annotated","n_recordings","n_recordings_annotated","n_audio_segments_annotated"
"Hemiptera","Cicadidae","24 (26)","24 (26)","22 (24)",2782,859,10019
"Orthoptera","Acrididae","95 (110)","83 (94)","63 (72)",3645,1649,7541
"Orthoptera","Gryllidae","12 (12)","12 (12)","12 (12)",1397,658,9522
"Orthoptera","Gryllotalpidae","3 (3)","3 (3)","2 (2)",128,24,282
"Orthoptera","Pamphagidae","2 (2)","0 (0)","0 (0)",0,0,0
"Orthoptera","Tettigoniidae","108 (117)","99 (106)","64 (68)",7180,4089,27697
"Orthoptera","Trigonidiidae","4 (4)","4 (4)","4 (4)",389,159,1471
"Other biophony","-","-","261","150",7549,1495,3974
"Anthropophony","-","-","-","-",1987,1987,7360
"Geophony","-","-","-","-",515,515,2836
