"species","order","sound_type","frequency_range","n_recordings_on_online_libraries","n_recordings_in_our_dataset","n_recordings_annotated","n_annotated_audio_segments_in_train","n_annotated_audio_segments_in_val","n_annotated_audio_segments_in_test"
"Cicada barbara","Hemiptera","Timbalization","Audible",254,31,29,277,32,29
"Cicada orni","Hemiptera","Timbalization","Audible",1450,281,180,1038,303,230
"Cicadatra atra","Hemiptera","Timbalization","Audible",72,114,54,203,110,58
"Cicadetta brevipennis brevipennis","Hemiptera","Timbalization","Partially audible",12,105,30,616,184,9
"Cicadetta brevipennis litoralis","Hemiptera","Timbalization","Partially audible",0,18,18,331,6,27
"Cicadetta cantilatrix","Hemiptera","Timbalization","Partially audible",14,137,32,484,13,240
"Cicadetta cerdaniensis","Hemiptera","Timbalization","Partially audible",0,25,18,239,72,36
"Cicadetta concinna concinna","Hemiptera","Timbalization","Partially audible",0,16,0,0,0,0
"Cicadetta fangoana","Hemiptera","Timbalization","Partially audible",6,18,13,118,41,26
"Cicadetta macedonica","Hemiptera","Timbalization","Partially audible",9,93,0,0,0,0
"Cicadetta montana","Hemiptera","Timbalization","Partially audible",20,197,28,215,70,56
"Cicadetta petryi","Hemiptera","Timbalization","Partially audible",15,107,29,89,58,47
"Cicadetta sibillae","Hemiptera","Timbalization","Partially audible",3,1,1,17,0,0
"Dimissalna dimissa","Hemiptera","Timbalization","Partially audible",47,113,32,367,98,167
"Lyristes plebejus","Hemiptera","Timbalization","Audible",157,104,57,274,106,74
"Oligoglena tibialis","Hemiptera","Timbalization","Partially audible",22,60,2,3,0,0
"Tettigettalna argentata","Hemiptera","Timbalization","Audible",327,167,110,410,165,132
"Tettigettula pygmea","Hemiptera","Timbalization","Partially audible",25,146,39,180,31,65
"Tibicina corsica corsica","Hemiptera","Timbalization","Audible",4,34,12,170,116,24
"Tibicina corsica fairmairei","Hemiptera","Timbalization","Audible",0,114,13,164,29,19
"Tibicina garricola","Hemiptera","Timbalization","Audible",68,226,32,127,97,93
"Tibicina haematodes","Hemiptera","Timbalization","Audible",119,199,35,160,59,67
"Tibicina nigronervosa","Hemiptera","Timbalization","Audible",0,37,21,174,60,13
"Tibicina picta","Hemiptera","Timbalization","Audible",1,137,42,321,67,29
"Tibicina quadrisignata","Hemiptera","Timbalization","Audible",10,133,16,503,45,60
"Tibicina steveni","Hemiptera","Timbalization","Audible",12,115,14,188,54,28
"Acheta domesticus","Orthoptera","Stridulation","Audible",365,28,7,49,0,10
"Acrometopa italica","Orthoptera","Stridulation","Audible",32,2,1,11,0,0
"Acrotylus braudi","Orthoptera","Crepitation","Audible",0,0,0,0,0,0
"Acrotylus fischeri","Orthoptera","Crepitation","Audible",0,1,0,0,0,0
"Acrotylus insubricus braudi","Orthoptera","Crepitation","Audible",0,0,0,0,0,0
"Acrotylus insubricus insubricus","Orthoptera","Crepitation","Audible",0,1,0,0,0,0
"Acrotylus patruelis","Orthoptera","Crepitation","Audible",0,0,0,0,0,0
"Aeropedellus variegatus variegatus","Orthoptera","Stridulation","Audible",12,29,13,18,0,5
"Aiolopus puissanti","Orthoptera","Crepitation","Audible",0,0,0,0,0,0
"Aiolopus strepens","Orthoptera","Crepitation","Audible",6,0,0,0,0,0
"Aiolopus thalassinus corsicus","Orthoptera","Crepitation","Audible",0,0,0,0,0,0
"Aiolopus thalassinus thalassinus","Orthoptera","Crepitation","Audible",0,0,0,0,0,0
"Amedegnatiana vicheti","Orthoptera","Stridulation","Ultrasounds",39,26,0,0,0,0
"Anacridium aegyptium","Orthoptera","Crepitation","Audible",0,0,0,0,0,0
"Anonconotus alpinus","Orthoptera","Stridulation","Ultrasounds",28,3,0,0,0,0
"Anonconotus baracunensis","Orthoptera","Stridulation","Ultrasounds",22,1,0,0,0,0
"Anonconotus ghilianii","Orthoptera","Stridulation","Partially audible",30,1,0,0,0,0
"Anonconotus italoaustriacus","Orthoptera","Stridulation","Ultrasounds",12,0,0,0,0,0
